#{"t_start": 1772394484.3165534, "env_id": "None"}
r,l,t-910.0,99,109.674998
910.0,99,111.562494
910.0,99,113.427012
910.0,99,115.400116
910.0,99,117.265461
910.0,99,231.783035
910.0,99,233.668419
910.0,99,235.635235
910.0,99,237.605456
910.0,99,239.517375
910.0,99,352.640792
910.0,99,354.772811
910.0,99,356.880073
910.0,99,358.932711
910.0,99,360.839687
910.0,99,476.782493
910.0,99,478.569915
910.0,99,480.323832
910.0,99,482.081262
910.0,99,483.972096
910.0,99,590.975168
910.0,99,592.727012
910.0,99,594.489567
910.0,99,596.283459
910.0,99,598.0947
910.0,99,700.887268
910.0,99,702.940003
910.0,99,704.823114
910.0,99,706.690863
910.0,99,708.560185
910.0,99,820.689289
910.0,99,822.478769
910.0,99,824.407192
910.0,99,826.195744
910.0,99,828.065451
910.0,99,934.838693
910.0,99,936.706816
910.0,99,938.596136
910.0,99,940.464898
910.0,99,942.272712
910.0,99,1050.272525
910.0,99,1052.120434
910.0,99,1053.942301
910.0,99,1055.799979
910.0,99,1057.587748
910.0,99,1167.092875
910.0,99,1168.882507
910.0,99,1170.711317
910.0,99,1172.540249
910.0,99,1174.348967
910.0,99,1289.038923
910.0,99,1290.933767
910.0,99,1293.154902
910.0,99,1295.551624
910.0,99,1297.480459
910.0,99,1409.961436
910.0,99,1411.951183
910.0,99,1413.759262
910.0,99,1415.609062
910.0,99,1417.496139
910.0,99,1524.27045
910.0,99,1526.118207
910.0,99,1527.969651
910.0,99,1529.95659
910.0,99,1531.809903
910.0,99,1785.26999
910.0,99,1791.112536
910.0,99,1796.420771
910.0,99,1801.665545
910.0,99,1807.008788

6308.758756,649,856.415869
6319.273643,649,873.357165
6410.0,649,885.737738
6410.0,649,898.297889
6410.0,649,915.338063
6410.0,649,927.737404
6307.883226,649,949.52405
6410.0,649,962.04422
6410.0,649,978.363023
6410.0,649,991.480446
6410.0,649,1003.904524
6157.603262,649,1019.981778
6319.31997,649,1033.782656
6208.739605,649,1046.992442
6410.0,649,1072.334232
6310.258835,649,1084.753665
6410.0,649,1097.534436
6187.128858,649,1113.731196
6410.0,649,1126.592251
6410.0,649,1139.295622
6410.0,649,1155.13297
6410.0,649,1167.290519
6410.0,649,1189.054352
6308.044573,649,1205.051472
6410.0,649,1217.272379
6410.0,649,1229.74877
6319.406859,649,1248.902122
6410.0,649,1266.487366
6410.0,649,1279.668636
6410.0,649,1303.484095
6289.970617,649,1320.614094
6299.848144,649,1333.728455
6410.0,649,1346.988889
6307.138983,649,1363.454211
6410.0,649,1375.974251
6410.0,649,1388.75281
6410.0,649,1405.052216
6410.0,649,1427.218985
6410.0,649,1439.859746
6410.0,649,1456.079217
6410.0,649,1468.757283
6410.0,649,1481.49967
6410.0,649,1497.878265
6410.0,649,1510.760955
6410.0,649,1523.180784
6288.64984,649,1549.204928
6410.0,649,1561.592636
6410.0,649,1574.104584
6410.0,649,1604.715017
6410.0,649,1657.829909
6410.0,649,1695.628404
6410.0,649,1732.427278
6410.0,649,1815.26508
6410.0,649,1853.687791
6410.0,649,1898.00495
6410.0,649,1951.54064
6410.0,649,1991.731324
6410.0,649,2031.687151
6410.0,649,2091.495028
